id,subfunction_description_id,deliverable,frequency_deliverable,responsible,accountable,support,consulted,informed
1,1,"Corporate Strategy Map, Strategic Planning Sessions",Annually,Chief Executive Officer,Chief Executive Officer,"Executive Committee, Business Unit Heads",Board of Directors,"Business Unit Management Committees, All Employees"
2,3,Strategic Planning sessions,Annually,Chief Executive Officer,Chief Executive Officer,"Executive Committee, Business Unit Head",Board of Directors,Business Unit Management
3,5,"SBU performance reviews, Dashboard reports, ExeCom agendas & minutes",Monthly,Chief Executive Officer,Chief Executive Officer,"Busines Unit Heads, Business Unit Management Committees",Executive Committee,Board of Directors
4,213,Org-wide alignment updates,Monthly,Chief Executive Officer,Chief Executive Officer,"Executive Committee, Business Unit Heads, Office of the CEO Team",Business Unit Management Committees,All Employees
5,9,"Board Reports, Annual and special meeting materials",As Needed,Corporate Secretary,Chief Executive Officer,"Chief Legal Officer, Office of the CEO Team, Executive Committee, Business Unit Heads, Office of the CEO Team",Business Unit Management Committees,"Board of Directors, Shareholders"
6,12,"Townhall messages - Kape't Bisig, Mornings with the Bossings",Quarterly,Chief Executive Officer,Chief Executive Officer,"Executive Committee, Business Unit Head",Business Unit Management Committees,All Employees
7,13,Recognition programs & Succession plans,Annually,Succession Committee (Exec),Chief Executive Officer,"Chief Human Resources Officer, Talent Management & Total Rewards Officer, Assistant Organizational Development Manager","Executive Committee, Business Unit Heads",None
8,14,Culture pulse survey,Annually,Chief Executive Officer,Chief Executive Officer,"Executive Committee, Business Unit Head",Business Unit Management Committees,All Employees
9,15,Enterprise Risk Profile and Framework,Annually,Chief Executive Officer,Chief Executive Officer,Business Unit Management Committees,Business Unit Managers,All Employees
10,16,Risk Appetite Statement,Annually,Chief Executive Officer,Chief Executive Officer,Business Unit Management Committees,Business Unit Managers,All Employees
11,17,Governance and compliance reports,As Needed,Chief Executive Officer,Chief Executive Officer,Business Unit Management Committees,Business Unit Managers,All Employees
12,18,Risk Awareness and Ethics Program,As Needed,Chief Executive Officer,Chief Executive Officer,Business Unit Management Committees,Business Unit Managers,All Employees
13,19,Speech decks & interviews,As Needed,Chief Executive Officer,Chief Executive Officer,"Chief CCAB Officer, Business Unit Heads",Communications & Branding Manager,External Stakeholders
14,20,Engagements & External communications,Annually,Chief Executive Officer,Chief Executive Officer,"Chief CCAB Officer, Business Unit Heads",Communications & Branding Manager,External Stakeholders
15,21,Process Maps,Annually,Functional Leads,Corporate Chiefs,Office of the CEO Team,Functional Teams,All Employees
16,22,SOPs & Workflow Diagrams,Annually,Functional Leads,Corporate Chiefs,Office of the CEO Team,Functional Teams,All Employees
17,23,Updated Sharepoint/Channel,Annually,Functional Leads,Corporate Chiefs,Office of the CEO Team,Functional Teams,All Employees
18,24,Improvement plans,Annually,Functional Leads,Corporate Chiefs,Office of the CEO Team,Functional Teams,All Employees
19,25,Automation scripts,Annually,Functional Leads,Corporate Chiefs,Office of the CEO Team,Functional Teams,All Employees
20,26,Efficiency reports,Annually,Functional Leads,Corporate Chiefs,Office of the CEO Team,Functional Teams,All Employees
21,27,KPI dashboards,Monthly,Functional Leads,Corporate Chiefs,Office of the CEO Team,Functional Teams,All Employees
22,28,Compliance reports,Monthly,Functional Leads,Corporate Chiefs,Office of the CEO Team,Functional Teams,All Employees
23,29,Risk assessments,Annually,Functional Leads,Corporate Chiefs,Office of the CEO Team,Functional Teams,All Employees
24,30,Process change management plans,As Needed,Office of the CEO Team,Chief Executive Officer,"Functional Leads, Corporate Chiefs",Functional Teams,All Employees
25,31,Training materials,As Needed,Office of the CEO Team,Chief Executive Officer,"Functional Leads, Corporate Chiefs",Functional Teams,All Employees
26,32,Security policies and procedures,Annually,Facilities Management,Chief Executive Officer,Third-Party Service Provider,"PCS Facilities Management, All Employees",All Employees
27,33,Incident reports,As Needed,Facilities Management,Chief Executive Office,Third-Party Service Provider,"Concerned Employees, PCS Facilities",Executive Committee
28,34,Work permit and Gate Pass Request Form,As Needed,Facilities Management,Chief Executive Officer,Building Property Administrator,"Management, Employee-Requestors",Concerned Employees
29,35,Cleaning schedule & 52 Workweek Plan,Daily,Facilities Management Officer,Chief Executive Officer,Third-Party Service Provider,"PCS Facilities Management, All Employees",All Employees
30,36,Waste management program,Daily,Facilities Management Officer,Chief Executive Office,Third-Party Service Provider,"PCS Facilities Management, All Employees'",All Employees
31,37,Housekeeping supplies inventory tracker,Monthly,Facilities Management Officer,Chief Executive Officer,"Third-Party Service Provider, HRD Purchasing Team",Third-Party Service Provider,None
32,38,Health and Safety policies,As Needed,Facilities Management Officer,Chief Executive Officer,Third-Party Service Provider,PCS Facilities Management,All Employees
33,39,Emergency GO bags,Annually,Facilities Management Officer,Chief Executive Office,Third-Party Service Provider,PCS Facilities Management,All Employees
34,40,Earthquake and Fire drill participation logs,Annually,Facilities Management Officer,Chief Executive Officer,Third-Party Service Provider,PCS Facilities Management,All Employees
35,41,Pantry inventory tracker & Coffee nook inventory tracker,Daily,Facilities Management Officer,Chief Executive Officer,Third-Party Service Provider,None,Concerned Employees
36,42,Meal preparation request form & Food service feedback form,Daily,Facilities Management Officer,Chief Executive Officer,Third-Party Service Provider,None,None
37,43,"Meeting room and studio calendar, Event Request Form & Event Management Form (detailed requirements of the event)",Daily,Facilities Management Officer,Chief Executive Officer,None,Concerned Employees,Concerned Employees
38,44,Paid billings,Monthly,Facilities Management Officer,Chief Executive Officer,Building Property Administrator,None,None
39,45,Contract management,Annually,Facilities Management Officer,Chief Executive Officer,Building Property Administrator,None,CREC Admin Team
40,46,Fixed assets inventory tracker & Fixed Asset tagging,Monthly,Facilities Management Officer,Chief Executive Officer,None,None,None
